"original_path","proposed_path","course_code","course_title","department","program","semester","year","exam_type","confidence"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/3rd Semester/Third semester 2014 Supply/AES211.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mechanical & Aerospace/B.Tech/Core/2014/EndSem/AES211_Introduction_to_Aerospace_Technology_EndSem_2014.pdf","AES211","Introduction to Aerospace Technology","Mechanical & Aerospace","B.Tech","Sem03","2014","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/M.Tech/2nd Semester/2023/21CY621_II Ass May 2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Computer Science & Engineering/M.Tech/Core/2023/Ass2/21CY621_Cyber_Forensics_Ass2_2023.pdf","21CY621","Cyber Forensics","Computer Science & Engineering","M.Tech","Sem02","2023","Ass2","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/5th Semester/2025/Fifth semester 2025 Mid Term/23CSE302_V Sem Mid Term_Odd 2025.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Computer Science & Engineering/B.Tech/Core/2025/MidTerm/23CSE302_Computer_Networks_MidTerm_2025.pdf","23CSE302","Computer Networks","Computer Science & Engineering","B.Tech","Sem05","2025","MidTerm","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/4th Semester/Fourth semester 2013 Supply/ECE230.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Electronics & Communication/B.Tech/Core/2013/EndSem/ECE230_Electromagnetics_and_Wave_Propagation_EndSem_2013.pdf","ECE230","Electromagnetics and Wave Propagation","Electronics & Communication","B.Tech","Sem04","2013","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/4th Semester/2024/Fourth Semester Mid-Term 2024/19CCE213_IV Sem Mid-Term_Even 2024.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Computer Science & Engineering/B.Tech/Core/2024/MidTerm/19CCE213_Machine_Learning_and_Artificial_Intelligence_MidTerm_2024.pdf","19CCE213","Machine Learning and Artificial Intelligence","Computer Science & Engineering","B.Tech","Sem04","2024","MidTerm","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/2nd Semester/2011/Second semester 2011/EEE100.PDF","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Electrical & Electronics/B.Tech/Core/2011/EndSem/EEE100_Electrical_Engineering_EndSem_2011.pdf","EEE100","Electrical Engineering","Electrical & Electronics","B.Tech","Sem01","2011","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/3rd Semester/Third semester 2014 Supply/AES221.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mechanical & Aerospace/B.Tech/Core/2014/EndSem/AES221_Mechanics_of_Fluids_EndSem_2014.pdf","AES221","Mechanics of Fluids","Mechanical & Aerospace","B.Tech","Sem03","2014","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/5th Semester/2025/Fifth semester 2025 Mid Term/23CSE303_V Sem Mid Term_Odd 2025.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Computer Science & Engineering/B.Tech/Core/2025/MidTerm/23CSE303_Theory_of_Computation_MidTerm_2025.pdf","23CSE303","Theory of Computation","Computer Science & Engineering","B.Tech","Sem05","2025","MidTerm","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/M.Tech/2nd Semester/2023/21CY622_II Ass May 2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Chemical Sciences/M.Tech/Core/2023/Ass2/21CY622_APPLIED_CRYPTOGRAPHY_Ass2_2023.pdf","21CY622","APPLIED CRYPTOGRAPHY","Chemical Sciences","M.Tech","Sem02","2023","Ass2","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/4th Semester/Fourth semester 2013 Supply/EEE213.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Electrical & Electronics/B.Tech/Core/2013/EndSem/EEE213_Electrical_Measurements_and_Instrumentation_EndSem_2013.pdf","EEE213","Electrical Measurements and Instrumentation","Electrical & Electronics","B.Tech","Sem04","2013","EndSem","high"
